TÍTULO,DIRECTOR,PRODUCTOR,DURACIÓN,DISTRIBUIDOR,ESPECTADORES,TAQUILLA,FECHA DE ESTRENO,CLASIFICACIÓN,AÑO DE ESTRENO,MES DE ESTRENO
PESCADOR,SEBASTIÁN CORDERO,"C.I. CONTENTO FILMS S.A.S.,",95.3,CINE COLOMBIA,3532,25239350,08/02/2013,,2013,February
PETECUY,OSCAR HINCAPIÉ MAHECHA,FUNDACIÓN PANDEBONIUM,77.5,CINE COLOMBIA,4862,32871900,11/12/2014,,2014,December
POKER,JUAN SEBASTIÁN VALENCIA,MADLOVE FILM FACTORY E.U,74.4,UIP,43435,283007341,30/09/2011,,2011,September
POR UN PUÑADO DE PELOS,NESTOR MONTALBANO,ELEGUA PRODUCCIONES E.U,96.0,ROYAL FILMS,3476,20318073,18/09/2014,,2014,September
PORFIRIO,ALEJANDRO LANDES,NO FRANJA S.A.S SIGLA FRANJA NOMO,106.0,CINE COLOMBIA,7676,52914650,02/03/2012,,2012,March
PORRO HECHO EN COLOMBIA,ADRIANA LUCÍA LÓPEZ,EL CARITO MUSIC,75.0,CINEPLEX,5465,35077150,17/09/2015,TODO PUBLICO,2015,September
POSTALES COLOMBIANAS,RICARDO CORAL DORADO,CALLE LUNA PRODUCCIONES S.A.,93.0,PROCINAL,2443,13993350,18/11/2011,,2011,November
QUE VIVA LA MUSICA,CARLOS MORENO,DYNAMO PRODUCCIONES,101.0,CINE COLOMBIA,61297,504770540,29/10/2015,MAY 15 AÑOS,2015,October
RABIA,SEBASTIÁN CORDERO,PRODUCCIONES RABIA LTDA,110.0,CINEPLEX,23764,166454050,05/11/2010,,2010,November
REFUGIADO,DIEGO LERMAN,BURNING BLUE,93.0,CINEPLEX,1651,13279850,10/12/2015,MAY 12 AÑOS,2015,December
REGUE CHIKEN,DAGO GARCÍA,DAGO GARCÍA PRODUCCIONES S.A.S,92.0,CINE COLOMBIA,63612,437302438,04/06/2015,TODO PUBLICO,2015,June
RETRATOS EN UN MAR DEMENTIRAS,CARLOS GAVIRIA,ERWINGÖGGEL IMFELD,110.0,CINE COLOMBIA,46039,324973250,21/05/2010,,2010,May
RIVERSIDE,HAROLD TROMPETERO SARAY,HAROLD HERNANDOTROMPETERO SARAY,92.0,CINE COLOMBIA,45004,370347731,27/03/2009,,2009,March
ROA,ANDI BAIZ,ROA 1948 PRODUCCIONES,96.4,CINECOLOR FILMS,161113,1210649784,09/04/2013,,2013,April
RUIDO ROSA,ROBERTO FLORES PRIETO,KYMERA PRODUCCIONES E.U.,100.0,CINE COLOMBIA,4381,38483700,09/04/2015,MAY 12 AÑOS,2015,April
SALUDA AL DIABLO DE MI PARTE,JUAN FELIPE OROZCO,SANANTERO FILMS S.A.S,90.0,CINE COLOMBIA,108305,745302586,12/08/2011,,2011,August
SANANDRESITO,ALESSANDRO ANGULO,LABERINTO CINE Y TELEVISIÓN LTDA.,90.0,CINE COLOMBIA,303914,2214563676,19/07/2012,,2012,July
SE NOS ARMO LA GORDA,FERNANDO AYLLÓN,TAKE ONE PRODUCTIONS S.A.S,95.0,UIP,452546,3059131188,08/01/2015,TODO PUBLICO,2015,January
SE NOS ARMÓ LA GORDA 2,FERNANDO AYLLÓN,TAKE ONE PRODUCTIONS S.A.S,95.7,UIP,177154,1141267450,01/10/2015,MAY 7 AÑOS,2015,October
SECRETOS,FERNANDO AYLLÓN,TAKE ONE PRODUCTIONS S.A.S,86.0,UIP,48551,357676153,18/10/2013,,2013,October
SECRETOS DE CONFESIÓN,HENRY RIVERO,DRIVE PICTURES LTDA,98.0,BABILLA FILMS,19065,137692303,09/05/2014,,2014,May
SHAKESPEARE,DAGO GARCÍA,DAGO GARCÍA PRODUCCIONES S.A.S,90.0,CINE COLOMBIA,1890,15591850,30/4/2015,MAY 12 AÑOS,2015,April
SIEMPREVIVA,KLYCH LÓPEZ,CMO PRODUCCIONES S.A.S.,101.0,CINE COLOMBIA,20558,167231696,01/10/2015,MAY 12 AÑOS,2015,October
SILENCIO EN EL PARAÍSO,COLBERT GARCÍA,OCHO Y MEDIOS COMUNICACIÓN LTDA.,93.0,CINE COLOMBIA,17415,117999600,25/11/2011,,2011,November
SIN PALABRAS,ANA SOFÍA OSORIO Y DIEGO FERNANDO BUSTAMANTE,PROYECCIÓN FILMS LTDA.,91.3,CINE COLOMBIA,18803,153523287,02/11/2012,,2012,November
